TRYHHCHILD,TEAGE,TESEX,PEEDUCA,PTDTRACE,PEHSPNON,GTMETSTA,TELFS,TEMJOT,TRDPFTPT,TESCHENR,TESCHLVL,TRSPPRES,TESPEMPNOT,TRERNWA,TRCHILDNUM,TRSPFTPT,TEHRUSLT,TRTEC,TRTHH,t010102,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T18,TARGET
1.0,0.02857142857142858,0.0,0.3333333333333335,0.0,1.0,0.5,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.08333333333333333,0.0,0.06451612903225806,0.0,0.0,0.0,0.045417010734929805,0.0,0.0,0.029166666666666667,0.0,0.4477777777777778,0.0,0.0,0.0,0.0,0.09322033898305085,0.3234657039711191,0.1988950276243094,0.0,0.0,0.0,0.028679245283018868,0
0.6666666666666666,0.042857142857142844,1.0,0.5333333333333337,0.06666666666666667,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.11700327946141953,0.08333333333333333,0.0,0.27419354838709675,0.0,0.0,0.0,0.016515276630883566,0.0,0.0,0.0,0.3374485596707819,0.0,0.0,0.0,0.0,0.0,0.0423728813559322,0.2346570397111913,0.0,0.0,0.0,0.0,0.056603773584905655,2
0.2222222222222222,0.14285714285714288,1.0,0.6000000000000001,0.0,1.0,0.5,0.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.10720996179739446,0.08333333333333333,0.5,0.27419354838709675,0.0,0.0,0.0,0.02477291494632535,0.2282608695652174,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.15254237288135591,0.16606498194945848,0.0,0.0,0.0,0.0,0.0,2
0.0,0.7428571428571428,1.0,0.5333333333333337,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.024193548387096774,0.015296367112810707,0.0,0.0,0.0,0.1358695652173913,0.0,0.020833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.10169491525423728,0.37545126353790614,0.06629834254143648,0.0,0.0,0.0,0.0,2
0.0,0.9285714285714285,1.0,0.8666666666666667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.024193548387096774,0.0,0.0,0.0,0.07018992568125516,0.07065217391304347,0.0,0.0,0.0,0.0,0.07142857142857144,0.08771929824561403,0.0,0.0,0.3898305084745763,0.23826714801444043,0.0,0.0,0.0,0.024096385542168676,0.04150943396226415,1
0.05555555555555555,0.37142857142857144,1.0,0.8000000000000003,0.0,0.0,0.0,0.25,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,1.0,0.25,0.0,0.3548387096774194,0.0,0.41472868217054265,0.0,0.03303055326176713,0.07608695652173914,0.5855263157894737,0.0,0.0,0.0,0.0,0.0,0.010989010989010988,0.0,0.24576271186440676,0.1407942238267148,0.0,0.0,0.0,0.28915662650602414,0.0,1
0.0,0.9285714285714285,0.0,0.6000000000000001,0.33333333333333337,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.024193548387096774,0.0,0.0,0.0,0.008257638315441783,0.029347826086956522,0.0,0.0,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.6483754512635379,0.0,0.0,0.0,0.0,0.03018867924528302,1
0.5555555555555556,0.3571428571428571,1.0,0.13333333333333375,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.5,0.024193548387096774,0.0,0.5348837209302325,0.0,0.0,0.3282608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10169491525423728,0.207942238267148,0.0,0.0,0.0,0.0,0.03018867924528302,2
0.0,0.5714285714285714,0.0,0.8000000000000003,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.400000693332224,0.0,0.75,0.3548387096774194,0.0,0.0,0.0,0.06606110652353427,0.059782608695652176,0.0,0.0,0.3950617283950617,0.0,0.0,0.0,0.0,0.0,0.1271186440677966,0.10830324909747292,0.0,0.0,0.043478260869565216,0.0,0.0,2
0.0,0.9999999999999999,1.0,0.20000000000000018,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.024193548387096774,0.0,0.0,0.0,0.061932287365813375,0.0,0.0,0.04166666666666667,0.0,0.0,0.0,0.10526315789473685,0.0,0.0,0.1864406779661017,0.20216606498194944,0.0,0.0,0.0,0.0,0.02641509433962264,2
0.0,0.1857142857142857,0.0,0.8000000000000003,0.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.5,0.6666666666666666,0.3813361898620962,0.0,0.5,0.3709677419354839,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10169491525423728,0.3898916967509025,0.06629834254143648,0.0,0.0,0.0,0.06792452830188679,2
0.7777777777777778,0.3999999999999999,1.0,0.26666666666666705,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.08333333333333333,0.75,0.024193548387096774,0.0,0.0,0.0,0.0,0.02717391304347826,0.09210526315789473,0.0625,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.10169491525423728,0.31768953068592054,0.0,0.0,0.0,0.0,0.06037735849056604,2
0.1111111111111111,0.2857142857142857,1.0,0.8000000000000003,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666,0.2933349973306709,0.08333333333333333,0.5,0.3548387096774194,0.0,0.11627906976744186,0.0,0.09083402146985961,0.0923913043478261,0.15657894736842104,0.0,0.37119341563786007,0.0,0.0,0.0,0.0,0.0,0.03389830508474576,0.07220216606498195,0.0,0.0,0.043478260869565216,0.0,0.05283018867924528,1
